"","H","Ta","Td"
1,675,29.2,23.8
2,425,28.3,24.9
3,312.5,27.8,25.3
4,375,27.8,24.8
5,412.5,27.4,24.1
6,400,27.6,24.4
7,450,28.2,24.6
8,450,29.5,25.9
9,687.5,31,25.5
10,962.5,33.1,25.4
11,937.5,33.3,25.8
12,900,32.2,25
13,800,32.2,25.8
14,750,31.1,25.1
15,812.5,31.8,25.3
16,937.5,32.3,24.8
17,1175,32,22.6
18,1200,31.2,21.6
19,1075,30.5,21.9
20,962.5,30,22.3
21,900,29.9,22.7
22,737.5,29.3,23.4
23,762.5,29.6,23.5
24,900,29.9,22.7
