"Hr","Tair","Td","RH"
1,19.6,15.8,79
2,19.3,16.1,82
3,19.4,16.2,82
4,19.3,16,NA
5,19,15.7,81
6,19,23,80
7,18.8,15.4,81
8,19.3,15.8,NA
9,20.2,21,79
10,20.8,22,75
11,21.6,16.6,73
12,22.6,16.8,70
13,22.3,16.2,68
14,21.9,15.6,67
15,21.3,15.5,70
16,20.7,NA,70
17,20.4,14.8,70
18,20.2,14.5,70
19,20.2,14.9,NA
20,19.9,NA,73
21,19.3,14.9,76
22,19.1,14.9,77
23,18.9,14.2,NA
24,19,14.2,74
