"hr2","Ta2"
1,24.3
2,24
3,24
4,24.1
5,24.2
6,23.7
7,24
8,24.4
9,25
10,23.5
11,24.9
12,25.8
13,26.7
14,25.6
15,25.3
16,25.1
17,25.2
18,24.9
19,23.8
20,23.9
21,24.3
22,24.4
23,24.3
24,24.5
